Date,Times,SMP
20100101,1h,121.34
20100102,1h,106.15
20100103,1h,106.28
20100104,1h,104.47
20100105,1h,117.25
20100106,1h,115.8
20100107,1h,122.44
20100108,1h,117.82
20100109,1h,119.79
20100110,1h,121.46
20100111,1h,106.05
20100112,1h,118.59
20100113,1h,120.03
20100114,1h,117.05
20100115,1h,113.97
20100116,1h,126.62
20100117,1h,111.56
20100118,1h,106.85
20100119,1h,119.21
20100120,1h,120.05
20100121,1h,118.01
20100122,1h,112.44
20100123,1h,118.59
20100124,1h,110.54
20100125,1h,106.06
20100126,1h,102.94
20100127,1h,103.23
20100128,1h,102.75
20100129,1h,116.17
20100130,1h,104.67
20100131,1h,105.19
20100201,1h,105.58
20100202,1h,115.33
20100203,1h,115.69
20100204,1h,119.07
20100205,1h,118.97
20100206,1h,117.34
20100207,1h,113.88
20100208,1h,106.75
20100209,1h,120.35
20100210,1h,119.96
20100211,1h,102.95
20100212,1h,124.44
20100213,1h,112.51
20100214,1h,101.12
20100215,1h,65.46
20100216,1h,99.72
20100217,1h,117.34
20100218,1h,141.16
20100219,1h,124.63
20100220,1h,117.12
20100221,1h,102.59
20100222,1h,105.8
20100223,1h,152.04
20100224,1h,116.91
20100225,1h,110.9
20100226,1h,103.18
20100227,1h,117.04
20100228,1h,103.06
20100301,1h,98.2
20100302,1h,97.95
20100303,1h,98.22
20100304,1h,97.73
20100305,1h,162.92
20100306,1h,117.09
20100307,1h,114.18
20100308,1h,103.43
20100309,1h,98.43
20100310,1h,98.44
20100311,1h,106.49
20100312,1h,106.93
20100313,1h,97.65
20100314,1h,110.24
20100315,1h,98.86
20100316,1h,122.38
20100317,1h,111.0
20100318,1h,110.2
20100319,1h,111.76
20100320,1h,98.46
20100321,1h,110.64
20100322,1h,98.19
20100323,1h,125.84
20100324,1h,128.63
20100325,1h,110.63
20100326,1h,126.42
20100327,1h,104.88
20100328,1h,103.36
20100329,1h,100.14
20100330,1h,193.57
20100331,1h,155.37
20100401,1h,112.14
20100402,1h,112.86
20100403,1h,112.64
20100404,1h,113.15
20100405,1h,112.12
20100406,1h,103.99
20100407,1h,159.82
20100408,1h,97.97
20100409,1h,98.43
20100410,1h,104.42
20100411,1h,109.86
20100412,1h,103.74
20100413,1h,106.69
20100414,1h,153.27
20100415,1h,97.91
20100416,1h,163.22
20100417,1h,101.77
20100418,1h,103.7
20100419,1h,97.98
20100420,1h,108.28
20100421,1h,97.86
20100422,1h,97.52
20100423,1h,97.38
20100424,1h,105.04
20100425,1h,99.19
20100426,1h,97.79
20100427,1h,103.44
20100428,1h,97.0
20100429,1h,96.83
20100430,1h,96.89
20100501,1h,105.99
20100502,1h,107.66
20100503,1h,105.62
20100504,1h,105.23
20100505,1h,104.38
20100506,1h,124.49
20100507,1h,106.06
20100508,1h,105.46
20100509,1h,158.84
20100510,1h,110.06
20100511,1h,105.95
20100512,1h,105.34
20100513,1h,110.79
20100514,1h,104.36
20100515,1h,105.13
20100516,1h,106.38
20100517,1h,105.37
20100518,1h,105.02
20100519,1h,104.89
20100520,1h,105.58
20100521,1h,107.01
20100522,1h,107.04
20100523,1h,106.26
20100524,1h,105.02
20100525,1h,104.4
20100526,1h,104.37
20100527,1h,105.61
20100528,1h,105.12
20100529,1h,104.36
20100530,1h,154.78
20100531,1h,103.56
20100601,1h,106.1
20100602,1h,106.03
20100603,1h,105.69
20100604,1h,105.69
20100605,1h,105.21
20100606,1h,105.39
20100607,1h,57.04
20100608,1h,107.12
20100609,1h,103.13
20100610,1h,107.12
20100611,1h,107.7
20100612,1h,105.44
20100613,1h,103.42
20100614,1h,55.79
20100615,1h,106.57
20100616,1h,105.88
20100617,1h,103.85
20100618,1h,102.88
20100619,1h,102.75
20100620,1h,100.5
20100621,1h,57.01
20100622,1h,106.01
20100623,1h,103.02
20100624,1h,103.39
20100625,1h,103.07
20100626,1h,102.67
20100627,1h,100.54
20100628,1h,56.96
20100629,1h,153.38
20100630,1h,107.3
20100701,1h,104.24
20100702,1h,104.87
20100703,1h,154.9
20100704,1h,104.43
20100705,1h,58.42
20100706,1h,108.56
20100707,1h,150.9
20100708,1h,109.16
20100709,1h,105.55
20100710,1h,105.19
20100711,1h,104.65
20100712,1h,59.57
20100713,1h,148.82
20100714,1h,104.23
20100715,1h,108.78
20100716,1h,104.25
20100717,1h,104.59
20100718,1h,103.33
20100719,1h,59.51
20100720,1h,105.13
20100721,1h,105.35
20100722,1h,105.16
20100723,1h,105.43
20100724,1h,109.15
20100725,1h,103.35
20100726,1h,59.51
20100727,1h,105.44
20100728,1h,109.04
20100729,1h,109.45
20100730,1h,105.3
20100731,1h,108.72
20100801,1h,109.75
20100802,1h,47.61
20100803,1h,107.38
20100804,1h,108.24
20100805,1h,110.12
20100806,1h,110.53
20100807,1h,113.8
20100808,1h,108.25
20100809,1h,68.09
20100810,1h,114.35
20100811,1h,113.47
20100812,1h,114.75
20100813,1h,111.45
20100814,1h,109.75
20100815,1h,107.4
20100816,1h,68.09
20100817,1h,110.52
20100818,1h,110.32
20100819,1h,110.33
20100820,1h,110.33
20100821,1h,113.91
20100822,1h,109.95
20100823,1h,68.09
20100824,1h,111.82
20100825,1h,114.14
20100826,1h,110.87
20100827,1h,113.9
20100828,1h,113.35
20100829,1h,155.91
20100830,1h,108.41
20100831,1h,114.45
20100901,1h,106.8
20100902,1h,106.46
20100903,1h,106.84
20100904,1h,107.44
20100905,1h,105.56
20100906,1h,102.11
20100907,1h,103.72
20100908,1h,105.67
20100909,1h,105.67
20100910,1h,103.7
20100911,1h,107.66
20100912,1h,149.19
20100913,1h,106.61
20100914,1h,103.4
20100915,1h,104.08
20100916,1h,103.42
20100917,1h,103.41
20100918,1h,106.69
20100919,1h,107.58
20100920,1h,103.21
20100921,1h,101.53
20100922,1h,43.3
20100923,1h,42.86
20100924,1h,70.3
20100925,1h,70.24
20100926,1h,127.56
20100927,1h,106.96
20100928,1h,107.31
20100929,1h,106.89
20100930,1h,103.83
20101001,1h,103.27
20101002,1h,151.36
20101003,1h,98.81
20101004,1h,99.37
20101005,1h,102.45
20101006,1h,102.89
20101007,1h,103.63
20101008,1h,102.63
20101009,1h,102.51
20101010,1h,100.63
20101011,1h,98.26
20101012,1h,102.9
20101013,1h,103.78
20101014,1h,103.51
20101015,1h,103.63
20101016,1h,102.86
20101017,1h,99.99
20101018,1h,107.55
20101019,1h,103.31
20101020,1h,103.62
20101021,1h,103.19
20101022,1h,103.56
20101023,1h,103.35
20101024,1h,102.07
20101025,1h,105.9
20101026,1h,103.48
20101027,1h,102.35
20101028,1h,103.17
20101029,1h,103.31
20101030,1h,102.89
20101031,1h,101.76
20101101,1h,91.5
20101102,1h,96.28
20101103,1h,96.69
20101104,1h,95.75
20101105,1h,96.08
20101106,1h,95.54
20101107,1h,96.82
20101108,1h,97.72
20101109,1h,96.22
20101110,1h,95.79
20101111,1h,95.73
20101112,1h,95.95
20101113,1h,95.82
20101114,1h,99.34
20101115,1h,97.38
20101116,1h,96.1
20101117,1h,95.7
20101118,1h,100.76
20101119,1h,96.4
20101120,1h,95.92
20101121,1h,98.15
20101122,1h,96.76
20101123,1h,98.14
20101124,1h,97.98
20101125,1h,96.23
20101126,1h,115.16
20101127,1h,96.39
20101128,1h,97.46
20101129,1h,96.64
20101130,1h,96.3
20101201,1h,125.39
20101202,1h,105.5
20101203,1h,105.17
20101204,1h,109.38
20101205,1h,118.52
20101206,1h,104.99
20101207,1h,104.22
20101208,1h,104.06
20101209,1h,104.93
20101210,1h,105.35
20101211,1h,117.39
20101212,1h,116.51
20101213,1h,104.51
20101214,1h,116.12
20101215,1h,114.35
20101216,1h,115.29
20101217,1h,140.26
20101218,1h,167.81
20101219,1h,123.02
20101220,1h,108.25
20101221,1h,136.49
20101222,1h,131.39
20101223,1h,139.08
20101224,1h,137.07
20101225,1h,127.24
20101226,1h,131.08
20101227,1h,127.83
20101228,1h,118.35
20101229,1h,118.41
20101230,1h,126.66
20101231,1h,126.91
20110101,1h,109.1
20110102,1h,108.06
20110103,1h,117.35
20110104,1h,122.23
20110105,1h,122.37
20110106,1h,128.68
20110107,1h,127.19
20110108,1h,122.08
20110109,1h,111.47
20110110,1h,110.52
20110111,1h,128.44
20110112,1h,129.29
20110113,1h,128.78
20110114,1h,128.91
20110115,1h,126.58
20110116,1h,123.31
20110117,1h,111.25
20110118,1h,129.02
20110119,1h,128.99
20110120,1h,128.9
20110121,1h,128.75
20110122,1h,126.58
20110123,1h,116.75
20110124,1h,116.32
20110125,1h,128.61
20110126,1h,128.77
20110127,1h,128.77
20110128,1h,129.15
20110129,1h,142.56
20110130,1h,129.4
20110131,1h,121.87
20110201,1h,128.39
20110202,1h,118.18
20110203,1h,108.05
20110204,1h,175.23
20110205,1h,108.35
20110206,1h,109.64
20110207,1h,111.15
20110208,1h,136.08
20110209,1h,135.92
20110210,1h,122.05
20110211,1h,116.62
20110212,1h,128.82
20110213,1h,127.69
20110214,1h,123.92
20110215,1h,119.52
20110216,1h,118.46
20110217,1h,122.27
20110218,1h,122.52
20110219,1h,122.32
20110220,1h,118.15
20110221,1h,111.06
20110222,1h,130.19
20110223,1h,129.22
20110224,1h,111.92
20110225,1h,109.77
20110226,1h,124.17
20110227,1h,127.34
20110228,1h,109.88
20110301,1h,134.93
20110302,1h,123.79
20110303,1h,113.88
20110304,1h,112.67
20110305,1h,126.63
20110306,1h,122.5
20110307,1h,115.89
20110308,1h,130.34
20110309,1h,122.78
20110310,1h,118.97
20110311,1h,117.26
20110312,1h,123.97
20110313,1h,117.66
20110314,1h,115.25
20110315,1h,121.47
20110316,1h,124.18
20110317,1h,112.79
20110318,1h,114.1
20110319,1h,115.41
20110320,1h,115.71
20110321,1h,134.8
20110322,1h,120.15
20110323,1h,118.86
20110324,1h,112.66
20110325,1h,112.67
20110326,1h,113.56
20110327,1h,110.38
20110328,1h,110.99
20110329,1h,112.5
20110330,1h,112.59
20110331,1h,110.93
20110401,1h,107.52
20110402,1h,109.24
20110403,1h,106.94
20110404,1h,107.3
20110405,1h,110.82
20110406,1h,107.03
20110407,1h,106.71
20110408,1h,106.48
20110409,1h,110.8
20110410,1h,112.23
20110411,1h,108.11
20110412,1h,106.81
20110413,1h,106.29
20110414,1h,107.03
20110415,1h,107.03
20110416,1h,106.29
20110417,1h,105.87
20110418,1h,107.11
20110419,1h,106.2
20110420,1h,107.2
20110421,1h,107.73
20110422,1h,110.04
20110423,1h,112.4
20110424,1h,105.45
20110425,1h,106.97
20110426,1h,108.01
20110427,1h,106.49
20110428,1h,106.46
20110429,1h,106.35
20110430,1h,106.66
20110501,1h,114.1
20110502,1h,116.4
20110503,1h,115.04
20110504,1h,114.35
20110505,1h,220.39
20110506,1h,115.2
20110507,1h,115.59
20110508,1h,112.81
20110509,1h,114.07
20110510,1h,113.05
20110511,1h,115.49
20110512,1h,113.98
20110513,1h,114.19
20110514,1h,113.78
20110515,1h,114.93
20110516,1h,109.45
20110517,1h,114.22
20110518,1h,109.79
20110519,1h,113.59
20110520,1h,111.27
20110521,1h,113.07
20110522,1h,109.75
20110523,1h,109.47
20110524,1h,113.11
20110525,1h,113.09
20110526,1h,113.5
20110527,1h,113.34
20110528,1h,113.63
20110529,1h,114.14
20110530,1h,107.26
20110531,1h,114.05
20110601,1h,113.53
20110602,1h,113.5
20110603,1h,113.18
20110604,1h,114.02
20110605,1h,110.03
20110606,1h,112.34
20110607,1h,110.16
20110608,1h,114.32
20110609,1h,113.54
20110610,1h,113.72
20110611,1h,113.39
20110612,1h,110.01
20110613,1h,108.08
20110614,1h,112.81
20110615,1h,113.65
20110616,1h,112.83
20110617,1h,114.35
20110618,1h,113.02
20110619,1h,112.69
20110620,1h,59.24
20110621,1h,111.41
20110622,1h,110.11
20110623,1h,112.82
20110624,1h,114.37
20110625,1h,114.24
20110626,1h,109.93
20110627,1h,108.1
20110628,1h,112.7
20110629,1h,112.8
20110630,1h,112.9
20110701,1h,123.03
20110702,1h,118.83
20110703,1h,116.17
20110704,1h,58.14
20110705,1h,122.86
20110706,1h,122.24
20110707,1h,117.92
20110708,1h,122.4
20110709,1h,119.32
20110710,1h,116.41
20110711,1h,58.14
20110712,1h,121.95
20110713,1h,123.45
20110714,1h,118.59
20110715,1h,117.44
20110716,1h,117.5
20110717,1h,116.41
20110718,1h,58.2
20110719,1h,122.4
20110720,1h,122.44
20110721,1h,118.92
20110722,1h,122.24
20110723,1h,118.23
20110724,1h,116.47
20110725,1h,58.14
20110726,1h,118.52
20110727,1h,118.72
20110728,1h,117.68
20110729,1h,123.02
20110730,1h,123.9
20110731,1h,117.23
20110801,1h,49.84
20110802,1h,64.8
20110803,1h,114.87
20110804,1h,114.91
20110805,1h,115.7
20110806,1h,117.19
20110807,1h,115.38
20110808,1h,64.55
20110809,1h,120.33
20110810,1h,117.49
20110811,1h,117.1
20110812,1h,117.62
20110813,1h,115.45
20110814,1h,121.18
20110815,1h,115.02
20110816,1h,77.77
20110817,1h,116.73
20110818,1h,120.12
20110819,1h,116.93
20110820,1h,120.24
20110821,1h,115.12
20110822,1h,64.62
20110823,1h,121.73
20110824,1h,121.76
20110825,1h,120.35
20110826,1h,122.09
20110827,1h,117.0
20110828,1h,115.02
20110829,1h,64.49
20110830,1h,117.24
