Date,Type,SMP
20100101,최대,121.34
20100102,최대,106.15
20100103,최대,175.34
20100104,최대,133.73
20100105,최대,290.69
20100106,최대,182.07
20100107,최대,271.51
20100108,최대,276.28
20100109,최대,133.14
20100110,최대,155.75
20100111,최대,290.69
20100112,최대,252.78
20100113,최대,179.04
20100114,최대,335.17
20100115,최대,290.69
20100116,최대,132.43
20100117,최대,159.95
20100118,최대,164.08
20100119,최대,166.59
20100120,최대,154.27
20100121,최대,197.51
20100122,최대,137.2
20100123,최대,126.7
20100124,최대,170.88
20100125,최대,157.08
20100126,최대,257.13
20100127,최대,166.76
20100128,최대,159.39
20100129,최대,129.68
20100130,최대,153.6
20100131,최대,158.32
20100201,최대,175.43
20100202,최대,254.72
20100203,최대,252.77
20100204,최대,185.41
20100205,최대,194.24
20100206,최대,155.37
20100207,최대,158.97
20100208,최대,256.71
20100209,최대,159.76
20100210,최대,158.4
20100211,최대,171.43
20100212,최대,157.97
20100213,최대,112.51
20100214,최대,162.95
20100215,최대,157.55
20100216,최대,174.37
20100217,최대,177.2
20100218,최대,271.53
20100219,최대,304.24
20100220,최대,125.51
20100221,최대,181.35
20100222,최대,171.91
20100223,최대,256.72
20100224,최대,252.83
20100225,최대,261.06
20100226,최대,124.29
20100227,최대,118.26
20100228,최대,157.37
20100301,최대,168.96
20100302,최대,162.18
20100303,최대,125.82
20100304,최대,167.33
20100305,최대,162.92
20100306,최대,176.99
20100307,최대,120.59
20100308,최대,169.68
20100309,최대,126.27
20100310,최대,174.81
20100311,최대,231.74
20100312,최대,168.35
20100313,최대,117.92
20100314,최대,168.49
20100315,최대,211.75
20100316,최대,168.56
20100317,최대,200.26
20100318,최대,193.54
20100319,최대,167.9
20100320,최대,162.25
20100321,최대,153.68
20100322,최대,166.04
20100323,최대,166.67
20100324,최대,189.19
20100325,최대,187.45
20100326,최대,165.34
20100327,최대,168.1
20100328,최대,113.27
20100329,최대,201.86
20100330,최대,197.71
20100331,최대,166.21
20100401,최대,167.69
20100402,최대,175.8
20100403,최대,155.03
20100404,최대,147.34
20100405,최대,212.07
20100406,최대,122.96
20100407,최대,179.57
20100408,최대,178.17
20100409,최대,197.73
20100410,최대,160.56
20100411,최대,154.46
20100412,최대,193.09
20100413,최대,126.28
20100414,최대,153.27
20100415,최대,180.93
20100416,최대,171.45
20100417,최대,157.99
20100418,최대,103.94
20100419,최대,156.7
20100420,최대,124.8
20100421,최대,160.57
20100422,최대,158.58
20100423,최대,125.15
20100424,최대,150.51
20100425,최대,99.19
20100426,최대,158.31
20100427,최대,153.6
20100428,최대,163.9
20100429,최대,163.17
20100430,최대,155.5
20100501,최대,106.72
20100502,최대,156.01
20100503,최대,159.95
20100504,최대,150.9
20100505,최대,139.69
20100506,최대,164.85
20100507,최대,170.47
20100508,최대,109.65
20100509,최대,158.84
20100510,최대,131.63
20100511,최대,155.16
20100512,최대,169.11
20100513,최대,150.42
20100514,최대,166.43
20100515,최대,109.7
20100516,최대,106.38
20100517,최대,166.3
20100518,최대,133.0
20100519,최대,143.77
20100520,최대,132.45
20100521,최대,108.44
20100522,최대,109.58
20100523,최대,106.26
20100524,최대,131.44
20100525,최대,171.37
20100526,최대,158.06
20100527,최대,165.74
20100528,최대,154.04
20100529,최대,149.85
20100530,최대,154.78
20100531,최대,135.57
20100601,최대,165.65
20100602,최대,159.51
20100603,최대,167.33
20100604,최대,164.24
20100605,최대,109.47
20100606,최대,161.39
20100607,최대,165.01
20100608,최대,181.43
20100609,최대,175.82
20100610,최대,180.7
20100611,최대,205.08
20100612,최대,109.15
20100613,최대,107.69
20100614,최대,140.97
20100615,최대,153.97
20100616,최대,283.66
20100617,최대,139.84
20100618,최대,139.18
20100619,최대,156.35
20100620,최대,111.22
20100621,최대,186.43
20100622,최대,170.85
20100623,최대,178.8
20100624,최대,179.72
20100625,최대,159.44
20100626,최대,156.47
20100627,최대,108.88
20100628,최대,149.38
20100629,최대,153.38
20100630,최대,149.38
20100701,최대,174.97
20100702,최대,167.2
20100703,최대,154.9
20100704,최대,110.49
20100705,최대,150.47
20100706,최대,173.42
20100707,최대,150.9
20100708,최대,176.99
20100709,최대,173.66
20100710,최대,155.51
20100711,최대,109.37
20100712,최대,171.69
20100713,최대,176.02
20100714,최대,175.79
20100715,최대,180.37
20100716,최대,174.63
20100717,최대,156.21
20100718,최대,163.06
20100719,최대,174.31
20100720,최대,171.74
20100721,최대,191.15
20100722,최대,180.29
20100723,최대,183.03
20100724,최대,112.26
20100725,최대,110.94
20100726,최대,133.33
20100727,최대,178.86
20100728,최대,178.05
20100729,최대,205.7
20100730,최대,143.85
20100731,최대,112.37
20100801,최대,114.56
20100802,최대,157.06
20100803,최대,166.42
20100804,최대,136.08
20100805,최대,142.26
20100806,최대,145.79
20100807,최대,164.46
20100808,최대,117.78
20100809,최대,186.16
20100810,최대,161.7
20100811,최대,151.51
20100812,최대,152.76
20100813,최대,165.77
20100814,최대,117.82
20100815,최대,119.02
20100816,최대,148.04
20100817,최대,151.56
20100818,최대,186.17
20100819,최대,190.12
20100820,최대,171.03
20100821,최대,143.22
20100822,최대,118.36
20100823,최대,171.44
20100824,최대,165.32
20100825,최대,185.95
20100826,최대,170.16
20100827,최대,186.01
20100828,최대,170.27
20100829,최대,155.91
20100830,최대,185.89
20100831,최대,165.44
20100901,최대,176.06
20100902,최대,174.79
20100903,최대,174.86
20100904,최대,174.66
20100905,최대,112.13
20100906,최대,179.91
20100907,최대,185.23
20100908,최대,174.71
20100909,최대,177.4
20100910,최대,145.06
20100911,최대,130.75
20100912,최대,149.19
20100913,최대,187.12
20100914,최대,170.17
20100915,최대,160.35
20100916,최대,174.64
20100917,최대,184.91
20100918,최대,156.23
20100919,최대,148.85
20100920,최대,132.35
20100921,최대,174.07
20100922,최대,55.95
20100923,최대,109.62
20100924,최대,111.69
20100925,최대,170.6
20100926,최대,127.56
20100927,최대,184.34
20100928,최대,174.24
20100929,최대,172.21
20100930,최대,145.58
20101001,최대,166.74
20101002,최대,151.36
20101003,최대,105.07
20101004,최대,162.12
20101005,최대,128.42
20101006,최대,161.95
20101007,최대,146.47
20101008,최대,130.09
20101009,최대,105.88
20101010,최대,176.67
20101011,최대,165.58
20101012,최대,175.46
20101013,최대,168.07
20101014,최대,178.13
20101015,최대,134.15
20101016,최대,107.55
20101017,최대,106.62
20101018,최대,129.86
20101019,최대,138.09
20101020,최대,130.06
20101021,최대,137.55
20101022,최대,139.94
20101023,최대,156.55
20101024,최대,155.77
20101025,최대,152.77
20101026,최대,176.59
20101027,최대,126.3
20101028,최대,150.46
20101029,최대,139.94
20101030,최대,106.81
20101031,최대,106.99
20101101,최대,150.33
20101102,최대,120.65
20101103,최대,120.32
20101104,최대,119.87
20101105,최대,118.77
20101106,최대,97.12
20101107,최대,118.19
20101108,최대,151.7
20101109,최대,145.05
20101110,최대,132.86
20101111,최대,121.47
20101112,최대,120.74
20101113,최대,146.6
20101114,최대,99.34
20101115,최대,123.4
20101116,최대,118.48
20101117,최대,124.77
20101118,최대,165.95
20101119,최대,156.2
20101120,최대,98.69
20101121,최대,148.99
20101122,최대,121.5
20101123,최대,124.06
20101124,최대,123.07
20101125,최대,124.37
20101126,최대,120.04
20101127,최대,151.71
20101128,최대,98.46
20101129,최대,151.23
20101130,최대,168.06
20101201,최대,136.11
20101202,최대,130.38
20101203,최대,191.32
20101204,최대,125.62
20101205,최대,118.52
20101206,최대,157.67
20101207,최대,188.08
20101208,최대,145.21
20101209,최대,173.49
20101210,최대,168.9
20101211,최대,134.59
20101212,최대,116.51
20101213,최대,192.76
20101214,최대,178.87
20101215,최대,185.47
20101216,최대,182.25
20101217,최대,308.54
20101218,최대,167.81
