No,Date,Installed_Capacity,Supply_Capacity,Maximum_Power_Last_Year,Maximum_Power_This_Year,Increasment,Supply_Reserve,Reserve_Rate,Timestamp,Maximum_Power_Last_Year  
2469,2010.01.01,7347,7200.3,5161.1,5639.1,9.3,1561.2,27.7,1:00,
2470,2010.01.02,7347,7195.3,5075.3,5547,9.3,1648.3,29.7,0:00,
2471,2010.01.03,7347,7195.8,5003,5558.1,11.1,1637.7,29.5,0:00,
2472,2010.01.04,7347,7268.8,5854.2,6614.9,13,653.9,9.9,12:00,
2473,2010.01.05,7347,7277,5964.7,6690.1,12.2,586.9,8.8,18:00,
2474,2010.01.06,7347,7258,5933.7,6785.5,14.4,472.5,7,12:00,
2475,2010.01.07,7347,7296.3,5998.4,6827.3,13.8,469,6.9,11:00,
2476,2010.01.08,7347,7296.3,5988.5,6855.5,14.5,440.8,6.4,11:00,
2477,2010.01.09,7347,7232.8,5513.1,6127.7,11.2,1105.1,18,12:00,
2478,2010.01.10,7347,7360.4,5369.1,5790,7.8,1570.4,27.1,1:00,
2479,2010.01.11,7347,7343,6264.5,6820.2,8.9,522.8,7.7,12:00,
2480,2010.01.12,7347,7295.7,6226.9,6875.8,10.4,419.9,6.1,11:00,
2481,2010.01.13,7347,7372.2,6224.5,6896.3,10.8,475.9,6.9,12:00,
2482,2010.01.14,7347,7401.4,6252.9,6893.7,10.3,507.7,7.4,11:00,
2483,2010.01.15,7347,7345.4,6183.7,6853.9,10.8,491.5,7.2,11:00,
2484,2010.01.16,7347,7362.1,5550,6107.6,10.1,1254.5,20.5,1:00,
2485,2010.01.17,7347,7298.7,5188.5,5814,12.1,1484.7,25.5,1:00,
2486,2010.01.18,7347,7301.8,5968,6734.7,12.9,567.1,8.4,11:00,
2487,2010.01.19,7347,7362.7,5984.8,6609.5,10.4,753.2,11.4,11:00,
2488,2010.01.20,7347,7368.7,5975.8,6360.8,6.4,1007.9,15.8,11:00,
2489,2010.01.21,7347,7375,5856.7,6478.3,10.6,896.7,13.8,19:00,
2490,2010.01.22,7347,7465.1,5971.8,6635.7,11.1,829.4,12.5,11:00,
2491,2010.01.23,7347,7429.2,5465.3,5970.4,9.2,1458.8,24.4,0:00,
2492,2010.01.24,7347,7465.1,5465.3,5683.5,9.2,1781.6,31.3,1:00,
