Date,Last,Open,High,Low,Variation
2020.01.01,1155.02,1155.07,1155.56,1154.23,0.0
2020.01.02,1157.94,1154.62,1160.93,1153.66,0.25
2020.01.03,1165.95,1158.85,1169.24,1156.27,0.69
2020.01.04,1165.95,1158.85,1169.24,1156.27,0.69
2020.01.05,1165.95,1158.85,1169.24,1156.27,0.69
2020.01.06,1167.56,1165.51,1173.41,1165.48,0.14
2020.01.07,1168.3,1167.54,1169.15,1163.7,0.06
2020.01.08,1162.41,1167.46,1179.4,1160.16,-0.5
2020.01.09,1159.72,1163.34,1164.0,1158.34,-0.23
2020.01.10,1158.97,1159.73,1164.74,1158.09,-0.06
2020.01.11,1158.97,1159.73,1164.74,1158.09,-0.06
2020.01.12,1158.97,1159.73,1164.74,1158.09,-0.06
2020.01.13,1154.95,1158.92,1160.0,1153.9,-0.35
2020.01.14,1158.2,1154.95,1160.14,1151.11,0.28
2020.01.15,1158.91,1158.2,1163.4,1156.27,0.06
2020.01.16,1160.73,1158.91,1162.24,1157.34,0.16
2020.01.17,1161.44,1161.03,1162.29,1156.82,0.06
2020.01.18,1161.44,1161.03,1162.29,1156.82,0.06
2020.01.19,1161.44,1161.03,1162.29,1156.82,0.06
2020.01.20,1159.61,1161.46,1162.7,1156.56,-0.16
2020.01.21,1170.01,1159.61,1171.11,1158.19,0.9
2020.01.22,1165.76,1170.01,1170.2,1162.3,-0.36
2020.01.23,1169.54,1165.76,1171.17,1164.65,0.32
2020.01.24,1170.2,1169.41,1171.1,1166.55,0.06
2020.01.25,1170.2,1169.41,1171.1,1166.55,0.06
2020.01.26,1170.2,1169.41,1171.1,1166.55,0.06
2020.01.27,1177.7,1170.24,1180.24,1170.2,0.64
2020.01.28,1176.11,1177.1,1181.69,1174.86,-0.14
2020.01.29,1179.68,1177.11,1180.81,1174.53,0.3
2020.01.30,1188.64,1179.68,1194.03,1178.74,0.76
2020.01.31,1195.97,1188.64,1198.9,1184.56,0.62
2020.02.01,1195.97,1188.64,1198.9,1184.56,0.62
2020.02.02,1195.97,1188.64,1198.9,1184.56,0.62
2020.02.03,1190.79,1195.96,1199.85,1190.53,-0.43
2020.02.04,1183.9,1190.74,1194.84,1183.9,-0.58
2020.02.05,1184.4,1183.9,1193.34,1180.64,0.04
2020.02.06,1186.28,1184.4,1186.88,1178.32,0.16
2020.02.07,1192.39,1186.28,1196.69,1185.35,0.52
2020.02.08,1192.39,1186.28,1196.69,1185.35,0.52
2020.02.09,1192.39,1186.28,1196.69,1185.35,0.52
2020.02.10,1188.17,1192.39,1194.9,1185.73,-0.35
2020.02.11,1182.25,1188.17,1188.88,1181.05,-0.5
2020.02.12,1179.51,1182.29,1184.79,1176.8,-0.23
2020.02.13,1184.58,1179.51,1185.03,1178.78,0.43
2020.02.14,1183.46,1184.59,1186.34,1180.94,-0.09
2020.02.15,1183.46,1184.59,1186.34,1180.94,-0.09
2020.02.16,1183.46,1184.59,1186.34,1180.94,-0.09
2020.02.17,1185.36,1183.14,1185.36,1179.2,0.16
2020.02.18,1191.04,1185.36,1192.1,1183.85,0.48
2020.02.19,1193.0,1191.45,1193.89,1187.72,0.16
2020.02.20,1205.21,1193.0,1208.91,1191.68,1.02
2020.02.21,1207.07,1204.87,1214.83,1202.81,0.15
2020.02.22,1207.07,1204.87,1214.83,1202.81,0.15
2020.02.23,1207.07,1204.87,1214.83,1202.81,0.15
2020.02.24,1219.17,1206.96,1222.52,1206.96,1.0
2020.02.25,1216.04,1219.58,1220.27,1209.1,-0.26
2020.02.26,1212.81,1216.04,1220.69,1211.92,-0.27
2020.02.27,1212.68,1212.36,1218.42,1206.53,-0.01
2020.02.28,1200.32,1212.75,1218.21,1198.98,-1.02
2020.02.29,1200.32,1212.75,1218.21,1198.98,-1.02
2020.03.01,1200.32,1212.75,1218.21,1198.98,-1.02
2020.03.02,1189.71,1200.21,1207.15,1188.11,-0.88
2020.03.03,1181.0,1190.11,1196.15,1178.76,-0.73
2020.03.04,1185.23,1181.0,1189.11,1181.0,0.36
2020.03.05,1188.82,1184.96,1192.53,1179.8,0.3
2020.03.06,1188.8,1188.82,1194.35,1184.86,0.0
2020.03.07,1188.8,1188.82,1194.35,1184.86,0.0
2020.03.08,1188.8,1188.82,1194.35,1184.86,0.0
2020.03.09,1200.94,1188.66,1206.26,1188.56,1.02
2020.03.10,1185.75,1201.03,1201.55,1184.55,-1.26
2020.03.11,1192.71,1185.74,1197.73,1184.07,0.59
2020.03.12,1211.21,1193.07,1213.95,1191.43,1.55
2020.03.13,1211.78,1211.21,1226.75,1205.25,0.05
